text,label
"""ஊட்டி  மற்ற எல்லா இடங்களையும் விட மிக குளிர்ந்த பகுதியாகும்.""",declarative
"""எனக்கு ஒரு வங்கியில் வேலை கிடைத்தது.""",declarative
"""அவள் வேகமாக நடப்பாள்""",declarative
"""நான் தினமும் இருமுறை குளிக்கிறேன்""",declarative
"""நல்ல குழந்தை எப்பொழுதும் நன்றாக படிக்கும்""",declarative
"""அவள் எப்பொழுதும் வளையல்கள் அணிந்திருப்பாள்""",declarative
"""என் அம்மா வீட்டை சுத்தம் செய்துக் கொண்டிருக்கிறார்""",declarative
""" ஆசிரியை பள்ளிக்கூடத்துக்கு சென்றுக் கொண்டிருக்கிறார்""",declarative
"""பூனை மரத்தடியில் படுத்துக் கொண்டிருக்கிறது""",declarative
"""நான் கதை புத்தகம் படித்துக் கொண்டிருக்கிறேன்""",declarative
"""நான் கதை புத்தகம் படித்துக் கொண்டிருக்கிறேன்""",declarative
"""அவள் கடைக்கு போய்க் கொண்டிருக்கிறாள்""",declarative
"""நான் சென்னை போய்க் கொண்டிருக்கலாம்""",declarative
""" அவள் பொம்மைகளுடன் விளையாடிக் கொண்டிருக்கலாம்""",declarative
"""சீதா புத்தகம் படித்துக் கொண்டிருக்கலாம்""",declarative
"""அவன் பணத்தை திருப்பி தந்து விடலாம்""",declarative
"""அவர்கள் சொல்வது சரியாக இருக்கலாம்""",declarative
"""அவன் பேனாவை திருப்பி கொடுத்து விடலாம்""",declarative
"""நான் நிச்சயமாக காலையில் திரும்பி விடுவேன்""",declarative
"""குழந்தைகள் பள்ளிக்கூடத்துக்கு செல்வார்கள்""",declarative
"""நான் இந்த அறையை விட்டு எப்பொழுது வேண்டுமானாலும் விடைபெறுவேன்""",declarative
"""நான் என்னுடைய தோழர்களை அழைக்கலாம்""",declarative
"""இல்லை எனக்கு காய்ச்சல் உள்ளது""",declarative
"""குரைக்கிற நாய் கடிக்காது""",declarative
"""ஒன்றும் செய்ய இயலாது""",declarative
"""வீட்டிற்கு வந்து பொருட்களை தர முடியுமா?""",interrogative
"""எனக்கு நீந்த முடியும்.ஏன் முடியாதா?""",interrogative
"""  அவர்கள் சாப்பிட்டு கொண்டிருக்கிறார்கள்.இல்லையா?""",interrogative
"""உனது பொம்மையை கண்டுப்பிடிக்க முடியவில்லையா?""",interrogative
"""  தண்ணீர் தாரலமாக உள்ளது.இல்லையா என்ன?""",interrogative
"""நீ பள்ளிக்கூடத்துக்கு செல்ல வில்லையா?""",interrogative
"""அவர்கள் நிச்சயம் வருவார்கள்.இல்லயா?""",interrogative
""" உனது பந்தை கண்டுப்பிடிக்க முடியவில்லையா?""",interrogative
"""நீங்கள் ஏன் வரவில்லை?""",interrogative
"""நீங்கள் எப்படி இங்கே வந்தீர்கள்""",interrogative
"""வீட்டிற்கு வந்து பொருட்களை தர முடியுமா?""",interrogative
"""நீ ஆனந்தமாக இருக்கிறாயா?""",interrogative
"""அவன் பாடி கொண்டிருந்தானா?""",interrogative
"""நேற்று நீ சந்தோஷமாக இருந்தாயா?""",interrogative
"""காபி மிகவும் சூடாக இருந்ததா?""",interrogative
"""இப்பொழுது மணி என்ன?""",interrogative
""" உன்னுடைய வயது என்ன?""",interrogative
"""  நீ எப்பொழுது வருவாய்?""",interrogative
"""உங்களுடைய வீடு எது?""",interrogative
""" உங்களுடைய பேனா எது?""",interrogative
"""உங்களுக்கு பிடித்த வண்ணம் எது?""",interrogative
"""உங்களுடைய புத்தகம் எது?""",interrogative
"""நீங்கள் எப்படி சமாளிக்கிறீர்கள்?""",interrogative
"""நான் எவ்வளவு பணம் செலுத்த வேண்டும்?""",interrogative
"""வகுப்பறையில் எத்தனை மாணவர்கள் உள்ளனர்?""",interrogative
"""நான் எத்தனை காலம் காத்திருக்க வேண்டும்?""",interrogative
"""இங்கு எத்தனை பேர் உள்ளனர்?""",interrogative
"""டெல்லியில் எத்தனை காலமாக இருக்கிறீர்கள்?""",interrogative
""" உனக்கு என்ன வயது?""",interrogative
"""நீங்கள் எப்படி இருக்கிறீர்கள்?""",interrogative
"""அந்த பாடல் யார் பாடினார்?""",interrogative
"""அந்த நபர் யார்?""",interrogative
"""நீங்கள் யாருக்கு வாக்கு கொடுத்தீர்கள்?""",interrogative
"""நாம் யாரை சந்திக்க வேண்டும்?""",interrogative
"""யாருடைய வீடு அது?""",interrogative
""" அந்த புத்தகம் யாருடையது""",interrogative
"""அங்கு யார் நிற்ப்பது?""",interrogative
"""நேற்று யார் ஆடினார்கள்?""",interrogative
"""நீ எதற்கு ஆனந்தமாய் இருக்கிறாய்?""",interrogative
""" அவள் எதற்கு அழுதாள்?""",interrogative
"""உன்னுடைய கைகடிகாரம் எங்கே?""",interrogative
""" உன்னுடைய வீடு எங்கே?""",interrogative
"""உன்னுடைய பிறந்த நாள் எப்பொழுது?""",interrogative
"""நீ எப்பொழுது வருவாய்?""",interrogative
"""உன்னுடைய வயது என்ன?""",interrogative
""" இப்பொழுது மணி என்ன?""",interrogative
"""நான் உங்களுடைய கவனத்தை பெறலாமா?""",interrogative
"""நாம் இதை சேர்ந்து செய்வோமா?""",interrogative
"""என்னை கோயிலில் இறக்கி விட முடியுமா?""",interrogative
"""எனக்கு உன்னுடைய வளையல்களை தர முடியுமா?""",interrogative
"""நான் உன் கூட விளையாடலாமா?""",interrogative
"""அவன் அலுவலகத்துக்கு வர முடியுமா?""",interrogative
"""நான் உள்ளே வரலாமா?""",interrogative
"""நீ எனக்கு பதில் சொல்ல முடியுமா?""",interrogative
"""பதில் தவறாக இருந்தாலும் நீ எனக்கு அதை சொல்வாயா?""",interrogative
"""நாம் விளையாடுவோமா?""",interrogative
"""அவன் எனக்கு சாக்லேட்கள் தருவானா?""",interrogative
"""நாம் பள்ளிக்கூடத்திற்கு செல்வோமா?""",interrogative
""" அவர்கள் கல்யாணத்திற்க்கு செல்வார்களா?""",interrogative
"""நான் உன்னை தொந்தரவு செய்யக் கூடாதா?""",interrogative
""" நான் கோயிலுக்கு வர வேண்டுமா?""",interrogative
"""நீ எனக்கு அந்த புத்தகம் தருவாயா?""",interrogative
""" நீ உன்னுடைய பணத்தை செலவழித்து விட்டாயா ?""",interrogative
"""நீ எப்பொழுதாவது டெல்லிக்கு சென்றிருக்கிறாயா ?""",interrogative
"""நீ மதியம் உணவு சாப்பிடாயா ?""",interrogative
"""அவன் கதையை எழுதி முடித்தானா?""",interrogative
"""அனு பேருந்தை தவர விட்டாளா?""",interrogative
"""நீ உன்னுடைய வேலையை முடித்து விட்டாயா?""",interrogative
"""நீ உன்னுடைய பேனாவை கண்டுப்பிடித்து விட்டாயா?""",interrogative
"""நீ மணி அடித்தாயா ?""",interrogative
"""நீ என்னை அழைத்தாயா?""",interrogative
""" அங்கு மழை பெய்யுமா?""",interrogative
""" நீ ஹிந்தி பேசுவாயா?""",interrogative
"""நீ புகைப்பிடிப்பாயா ?""",interrogative
"""அவள் குளித்தாளா ?""",interrogative
"""  நீ அங்கு சென்றாயா ?""",interrogative
"""அவனுக்கு பிடித்திருக்கிறதா ?""",interrogative
"""நன்றி.""",imperative
"""ஜன்னலைத் திற""",imperative
"""தயவு செய்து எனக்கு உதவி செய்""",imperative
"""அறம் செய விரும்பு""",imperative
"""ஆறுவது சினம்""",imperative
"""கண்டொன்று சொல்லேல்""",imperative
"""நன்றி மறவேல்""",imperative
"""தயவுசெய்து பள்ளிக்குச் செல்லுங்கள்""",imperative
"""முன் கதவை மூடு""",imperative
"""வெளியே போ!""",imperative
"""தயவுசெய்து அமைதியாக இருங்கள்.""",imperative
"""அடுப்பை முன்கூட்டியே சூடாக்கவும்.""",imperative
"""வாணலியில் எண்ணெய் பயன்படுத்தவும்.""",imperative
"""எல்லா குக்கீகளையும் சாப்பிட வேண்டாம்.""",imperative
"""மேசையிலிருந்து நாய்க்கு உணவளிப்பதை நிறுத்துங்கள்.""",imperative
"""இன்று இரவு எங்களுடன் வெளியே வாருங்கள்.""",imperative
"""தயவுசெய்து இரவு உணவிற்கு எங்களுடன் சேருங்கள்.""",imperative
"""ஜெர்மன் மேய்ப்பன் அல்ல, ஐரிஷ் ஓநாய் தேர்வு செய்யுங்கள்.""",imperative
"""அந்த ஆடையுடன் உங்கள் தங்க நெக்லஸை அணியுங்கள்.""",imperative
"""சீமஸ் அல்ல, ஈமான் தேர்வு செய்யவும்.""",imperative
"""நீங்கள் சூடான ஆடைகளை பேக் செய்யுங்கள்""",imperative
"""எனக்காக காத்திரு.""",imperative
"""என்னை மணந்து கொள்""",imperative
"""அமைதியை கடைப்பிடி""",imperative
"""எனக்கு ஒரு கிளாஸ் தண்ணீர் கொண்டு வாருங்கள்.""",imperative
"""எனது தொலைபேசியை எப்போதும் தொடாதே""",imperative
"""எனக்கு ஒரு பேனாவையும் பென்சிலையும் கொடுங்கள்.""",imperative
"""தீவிரத்துடனும் தைரியத்துடனும் விளையாடுங்கள்.""",imperative
"""நாங்கள் பிரிந்ததும் என்னை நினைவில் வையுங்கள்.""",imperative
"""உன்னை நேசிக்கும் நபரை ஒருபோதும் மறக்க வேண்டாம்.""",imperative
"""ஒரு படி எடுத்து நகர்த்த வேண்டாம்.""",imperative
"""காரணம் இல்லாமல் எல்லாவற்றையும் பற்றி உற்சாகமாக இருக்க வேண்டாம்""",imperative
"""அவசரப்பட வேண்டாம் அல்லது நீங்கள் விழுவீர்கள்.""",imperative
"""உங்கள் எழுதும் திறனை மேம்படுத்த நிறையப் படியுங்கள்.""",imperative
"""உங்களுக்கு வாய்ப்பு கிடைக்கும்போதெல்லாம் எழுதுங்கள்.""",imperative
"""இரவில் வெளியே இருக்க வேண்டாம்.""",imperative
"""தயவுசெய்து கதவைத் திறக்கவும்.""",imperative
"""ஒரு கப் கபூசினோ வேண்டும்.""",imperative
"""நீங்கள் முதலில் கையை கழுவி பின்னர் சாப்பிடுங்கள்.""",imperative
"""தயவுசெய்து புத்தகத்தை என்னிடம் கொண்டு வாருங்கள்.""",imperative
"""தயவுசெய்து என் நுணுக்கத்தை மன்னியுங்கள், ஆனால் நீங்கள் அதை தவறாக உச்சரித்திருக்கிறீர்கள்""",imperative
"""என்னை ஒருபோதும் நஷ்டம் என்று அழைக்க வேண்டாம்.""",imperative
"""அதை எடுப்பதற்கு முன் உங்கள் அடியைப் பாருங்கள்.""",imperative
"""தயவுசெய்து எனக்கு கடன் வழங்குங்கள்.""",imperative
"""வெஸ்டெரோஸ் ராஜா நீண்ட காலம் வாழட்டும்!""",exclamatory
"""வெஸ்டெரோஸ் ராஜா நீண்ட காலம் வாழ்க.""",exclamatory
"""உங்கள் பேரக்குழந்தைகளைப் பார்க்க நீங்கள் இருவரும் நீண்ட காலம் வாழட்டும்!""",exclamatory
"""கடவுள் நம் அனைவரையும் ஆசீர்வதிப்பாராக!""",exclamatory
"""அன்பை வாங்கும் அளவுக்கு நீங்கள் வெற்றிபெறட்டும்!""",exclamatory
"""இந்த சோகத்தில் சர்வவல்லவர் உதவட்டும்!""",exclamatory
"""நீங்கள் மிகவும் வெற்றிகரமான திருமண வாழ்க்கையை விரும்புகிறேன்!""",exclamatory
"""நீங்கள் ஒன்றாக மகிழ்ச்சியான பயணத்தை விரும்புகிறேன்!""",exclamatory
"""போட்டியில் உங்கள் அணி வெற்றி பெறட்டும்!""",exclamatory
"""ஏய்! எனது தொலைபேசியைத் தொடாதே.""",exclamatory
"""ஐயோ! அவளுடைய இறுதி சடங்கில் என்னால் இருக்க முடியவில்லை.""",exclamatory
"""ஹஷ்! உங்கள் தந்தை தூங்குகிறார்.""",exclamatory
"""என்ன ஒரு சலிப்பான நாள்!""",exclamatory
"""அவர் வாய் திறக்கும்போது அது எவ்வளவு அருவருப்பானது!""",exclamatory
"""உங்களிடம் எவ்வளவு நல்ல கார் இருக்கிறது!""",exclamatory
"""என்ன ஒரு சரிவு!""",exclamatory
"""உடை எவ்வளவு அழகாக இருக்கிறது!""",exclamatory
"""ஹர்ரே! நாங்கள் மியாமிக்குச் செல்கிறோம்.""",exclamatory
"""அத்தகைய காட்சியைக் காண நான் எவ்வளவு பாக்கியவான்கள்!""",exclamatory
"""இது எவ்வளவு அழகான நாடு!""",exclamatory
"""பிரஞ்சு மொழியில் அந்த பெண் எவ்வளவு சரளமாக பேசுகிறார்!""",exclamatory
"""என்ன ஒரு பரிதாபம்! நீங்கள் எங்களுடன் சேர முடியாது.""",exclamatory
"""அவர் வெளியேற வேண்டும் என்று நான் விரும்புகிறேன்!""",exclamatory
"""எனக்கு கச்சேரி டிக்கெட் கிடைத்தது!""",exclamatory
"""அச்சச்சோ! ஏன் என்னை கத்துகிறாய்?""",exclamatory
"""நான் இல்லை!""",exclamatory
"""பிறந்தநாள் வாழ்த்துக்கள், ஆமி!""",exclamatory
"""பிறந்தநாள் வாழ்த்துக்கள்!""",exclamatory
"""நன்றி, சிவா !""",exclamatory
"""நான் வெறுக்கிறேன்!""",exclamatory
"""ஐஸ்கிரீம் சண்டேஸ் எனக்கு மிகவும் பிடித்தவை!""",exclamatory
"""ஆஹா, நான் உன்னை மிகவும் நேசிக்கிறேன்!""",exclamatory
"""ஆஹா, நீங்கள் அழகாக இருக்கிறீர்கள்!""",exclamatory
"""அருமை, போகலாம்!""",exclamatory
"""என்ன ஒரு அழகான பூச்செண்டு!""",exclamatory
"""என்ன ஒரு அழகான நாய்க்குட்டி!""",exclamatory
"""என்ன ஒரு மகிழ்ச்சியான முடிவு!""",exclamatory
"""என்ன ஒரு அசிங்கமான பிழை!""",exclamatory
"""அவர்கள் சூரிய ஒளியில் எவ்வளவு பிரகாசமாக வளர்ந்திருக்கிறார்கள்!""",exclamatory
"""அவர் எவ்வளவு நன்றாகக் கேட்பார்!""",exclamatory
"""அவர்கள் எவ்வளவு மெதுவாக வலம் வருகிறார்கள்!""",exclamatory
"""நீங்கள் எவ்வளவு வேகமாக ஓடினீர்கள்!""",exclamatory
"""அந்த பிறந்த நாள் கேக் மிகவும் நன்றாக இருந்தது!""",exclamatory
"""சிவாவின் பரிசு மிகவும் ஆச்சரியமாக இருந்தது!""",exclamatory
"""யூ, அந்த பிழை மிகவும் அசிங்கமானது!""",exclamatory
"""எனக்கு இப்போது மிகவும் பைத்தியம்!""",exclamatory
"""அவர் ஒரு கனிவான ஆத்மா!""",exclamatory
"""அது போன்ற ஒரு அழகான மோதிரம்!""",exclamatory
"""உங்கள் நாய்க்குட்டி அத்தகைய அழகா!""",exclamatory
"""நீங்கள் அத்தகைய பொய்யர்!""",exclamatory

  யாழ்ப்பாணத்தில் இருந்து வெளிவரும் ஒரு உளவியல் சஞ்சிகை ,exclamatory
ஆனால் விக்கிபீடியா சற்று வேறுபட்ட கலைக்களஞ்சியம் ,declarative
